Команда;игр;побед;проигрышей;ничьих;голов;голы минус голы соперника
Синие Птицы;1525;701;537;287;4966;487
Белые розы;1455;648;530;277;4897;399
Красные Маки;1448;515;680;253;4365;-560
Рыжие лисы;1426;537;617;272;4401;-218
Желтые Тюльпаны;1419;617;554;248;4624;270
Зеленые Береты;1396;518;628;250;4370;-363
Черные коты;494;214;213;67;1572;-29
Манчестер Юн;108;55;25;28;190;66
Челси;99;51;27;21;159;50
Манчестер С;96;68;21;7;215;122
Барселона;95;51;25;19;197;72
Интер Милан;94;56;17;21;205;96
Реал Сосьедад;93;29;35;29;112;-16
Бавария;91;71;10;10;492;401
Ювентус;91;53;19;19;196;86
Палмейрас СП;91;46;20;25;146;71
Ливерпуль;90;46;25;19;165;54
Арсенал;89;43;29;17;133;37
Байя;88;37;35;16;126;24
Боруссия Дортмунд;87;48;28;11;187;72
ПСЖ;87;52;26;9;176;97
Тоттенхэм;86;52;20;14;175;81
Рома;86;42;25;19;150;29
Вильярреал;85;46;19;20;141;60
Аль-Сахель;84;20;42;22;66;-52
Гранада;84;36;32;16;117;9
Милан;84;52;15;17;176;72
Ривер Плейт;84;34;30;20;120;19
Наполи;82;45;21;16;164;65
Краснодар;82;41;27;14;546;451
Форталеза;82;32;26;24;97;17
Аль-Ахли;82;33;32;17;99;0
Сеара;81;38;22;21;121;39
Парагвай (TSL);80;26;38;16;251;-53
ЦСКА;80;40;27;13;463;374
Сампайо Корреа;80;34;22;24;113;35
Севилья;78;48;16;14;114;41
Лацио;78;39;26;13;120;12
ЦСКА София;76;44;10;22;126;71
Динамо Загреб;76;48;14;14;143;81
ПАОК;75;37;16;22;115;48
Олимпиакос Пирей;75;51;13;11;141;89
Аль-Араби;75;28;25;22;101;-3
Славия Прага;74;53;6;15;159;108
Порту;74;48;13;13;141;78
Бенфика;74;42;15;17;144;68
Атлетико Гойяненсе;74;33;20;21;101;27
Слован Либерец;73;35;22;16;103;18
Црвена Звезда;73;59;4;10;179;139
Атлетико Мадрид;73;41;13;19;116;48
Реал Мадрид;73;46;13;14;120;63
Зенит С-Петербург;73;47;13;13;681;607
Локомотив М;73;42;18;13;450;381
Брага;72;41;17;14;129;53
Чили (TSL);72;32;27;13;210;4
Алагоано;72;26;20;26;89;24
Маккаби Тель-Авив;71;45;9;17;114;59
АЕК Афины;71;31;27;13;96;5
Аталанта;71;40;13;18;150;60
Атлетико Паранаенсе;71;33;25;13;87;22
Коринтианс СП;71;30;19;22;93;24
Аякс;71;54;10;7;171;115
Сандерленд;70;31;17;22;114;37
Вольфсберг;70;25;28;17;104;-26
Брагантино;70;30;19;21;92;21
Динамо Киев;69;42;14;13;132;65
Брентфорд;69;38;13;18;118;57
Ботафого РЖ;69;18;26;25;75;-6
Америка Минейро;69;37;11;21;86;39
Риека;68;35;21;12;100;18
ЛАСК Линц;68;31;24;13;128;36
Лестер С;68;36;20;12;110;34
Рейнджерс;68;47;9;12;155;104
Байер Леверкузен;67;31;21;15;127;37
Стандард Льеж;67;30;22;15;101;15
Боруссия Менхенгладбах;66;32;20;14;145;54
Лейпциг;66;37;16;13;112;36
Аргентина (TSL);66;30;22;14;223;3
Янг Бойз Берн;66;45;11;10;133;66
ЧФР Клуж;66;41;11;14;91;51
Валенсия;66;19;26;21;80;-5
Базель;66;28;23;15;120;16
Спартак М;66;38;19;9;549;470
Борнмут;66;29;23;14;103;22
Суонси;66;34;18;14;89;28
Ависпа Фукуока;66;34;16;16;84;21
Атлетико Минейро;66;40;13;13;120;59
Ференцварош;65;40;8;17;128;71
Спарта Прага;65;45;13;7;145;74
Рапид Вена;65;39;17;9;132;45
Россия (TSL);65;27;26;12;219;21
Истанбул Башакшехир;65;23;24;18;90;-2
Альмерия;65;29;21;15;89;24
Спорт Ресифе;65;21;27;17;65;-15
Украина (TSL);64;20;28;16;204;-15
Фуэнлабрада;64;20;17;27;70;4
Эспаньол;64;30;18;16;90;43
Жирона;64;27;20;17;62;8
Лугано;64;22;16;26;90;15
Шеффилд Уэнсдей;64;18;32;14;62;-27
Куиаба;64;31;15;18;84;26
Целе;63;27;22;14;80;13
Лех Познань;63;27;18;18;96;25
Атлетик Бильбао;63;19;22;22;78;-1
Галатасарай;63;35;17;11;115;46
Сивасспор;63;27;15;21;79;15
Крылья Советов;63;44;9;10;155;106
Норвич С;63;32;19;12;85;19
Блэкберн Роверс;63;20;29;14;87;5
Лутон Т;63;26;21;16;65;-6
Сток С;63;22;22;19;67;-6
Читтаделла;63;27;21;15;83;13
Олимпия Любляна;62;28;16;18;90;23
Партизан Белград;62;44;10;8;134;91
Шахтер Донецк;62;32;13;17;104;34
Винтертур;62;25;23;14;108;12
Мольде;62;37;13;12;132;62
Леванте;62;20;19;23;84;2
Фламенго РЖ;62;37;13;12;116;44
Барнсли;62;31;18;13;72;7
Флуминенсе РЖ;62;29;17;16;86;21
Блэкпул;62;29;15;18;90;30
Маккаби Хайфа;61;39;12;10;111;51
Оденсе;61;22;24;15;80;0
Арис Салоники;61;26;20;15;68;12
Арау;61;24;23;14;114;-7
Спартак Суботица;61;22;28;11;88;-11
Малага;61;19;23;19;53;-10
Тенерифе;61;20;23;18;57;3
Сарагоса;61;17;28;16;52;-19
Бешикташ;61;38;13;10;125;61
Коньяспор;61;19;23;19;86;0
Уотфорд;61;30;18;13;76;19
Эвертон;61;27;18;16;82;8
Миллуолл;61;23;19;19;72;1
Чарльтон Атлетик;61;24;19;18;83;6
Мидлсбро;61;25;26;10;78;-1
Кардифф С;61;27;19;15;88;23
Кавасаки Фронтале;61;48;4;9;157;101
Селтик;61;30;16;15;110;38
Витесс;61;26;18;17;84;13
Хоффенхайм;60;27;18;15;108;25
Марибор;60;31;16;13;122;49
Ульсан Хендай;60;38;8;14;113;66
Дуйсбург;60;16;26;18;89;-24
Хартберг;60;23;22;15;95;-14
Фенербахче;60;36;13;11;106;43
Мальорка;60;31;16;13;75;23
Луго;60;18;23;19;59;-16
Торино;60;12;23;25;82;-22
Сампдория;60;25;25;10;90;5
Дерби Каунти;60;15;31;14;51;-29
Рединг;60;22;22;16;79;2
Ноттингем Форест;60;16;23;21;53;-11
Лион;60;34;14;12;127;45
Санфречче Хиросима;60;19;21;20;69;-1
Брюгге;60;33;15;12;115;54
Замалек;60;35;9;16;98;50
ПСВ Эйндховен;60;38;10;12;131;69
Универсидад Католика;60;26;16;18;103;39
Виктория Пльзень;59;35;14;10;113;57
Депортиво Саприсса;59;24;16;19;99;23
Домжале;59;27;15;17;106;33
Штурм Грац;59;30;20;9;105;23
Спортинг Лиссабон;59;44;5;10;111;70
Райо Вальекано;59;26;17;16;81;18
Эльче;59;17;24;18;51;-19
Леганес;59;27;15;17;65;21
Спортинг Хихон;59;24;16;19;55;14
КПР;59;23;22;14;72;0
Венеция;59;26;11;22;79;25
СПАЛ Феррара;59;19;21;19;61;-20
Фиорентина;59;17;23;19;83;-1
Портсмут;59;25;20;14;88;17
Ницца;59;24;27;8;83;-8
Омония Никосия;59;29;12;18;79;38
Велес;59;28;15;16;83;15
Ньюпорт Каунти;59;26;17;16;75;16
Ольборг;58;21;24;13;73;-7
Алахуэленсе;58;35;8;15;109;59
Слован Братислава;58;39;8;11;138;86
Альбасете;58;14;27;17;44;-21
Бетис;58;26;18;14;79;4
Вальядолид;58;10;24;24;61;-20
Алькоркон;58;20;24;14;52;-6
Антальяспор;58;17;19;22;61;-17
Шеффилд Юн;58;16;36;6;43;-44
Ньюкасл Юн;58;19;24;15;74;-14
Кальяри;58;15;27;16;63;-21
Парма;58;12;33;13;83;-33
Бристоль С;58;22;29;7;64;-10
Фрозиноне;58;15;24;19;55;-19
Удинезе;58;19;26;13;69;-12
Брешиа;58;20;24;14;86;-17
Фаджано Окаяма;58;16;24;18;53;-13
Киото Санга;58;27;16;15;73;19
Джубило Ивата;58;25;16;17;85;16
Оита Тринита;58;15;26;17;55;-26
Вегалта Сендай;58;11;33;14;56;-49
Фигейренсе;58;13;27;18;56;-23
Лилль;58;34;11;13;95;47
Марсель;58;24;21;13;80;-6
Коритиба;58;18;28;12;64;-10
Крузейро;58;24;17;17;64;18
Моркам;58;27;18;13;82;4
Вольфсбург;57;28;15;14;102;38
Локомотив Пловдив;57;29;11;17;84;32
Легия Варшава;57;33;10;14;87;42
Баник Острава;57;20;20;17;92;26
Динамо Дрезден;57;30;19;8;84;24
Бачка Топола;57;26;19;12;108;31
Хорсенс;57;16;23;18;72;-17
Аустрия Вена;57;28;18;11;103;16
Брондбю;57;29;15;13;90;32
Бытовия Бытув;57;17;23;17;78;-13
ГКС Катовице;57;32;17;8;97;31
Академика Клинчени;57;20;21;16;54;-17
Аустрия Клагенфурт;57;35;10;12;129;64
Понферрадина;57;20;23;14;58;-11
Лас-Пальмас;57;20;18;19;68;3
Осасуна;57;19;20;18;61;-5
Мирандес;57;19;23;15;52;-7
Жилина;57;28;15;14;145;60
Специя;57;17;24;16;79;-17
Эмполи;57;28;9;20;98;41
Вест Хэм Юн;57;29;16;12;104;32
Дженоа;57;19;23;15;76;-21
Мацумото Ямага;57;16;20;21;57;-18
Монтедио Ямагата;57;23;18;16;75;21
Зеспакусацу Гумма;57;18;31;8;51;-29
Рюкю;57;24;22;11;84;10
Сантос;57;21;19;17;77;3
Ботафого СП;57;13;26;18;42;-17
Гуарани;57;21;20;16;63;4
Колдинг ИФ;56;15;20;21;73;-13
Осиек;56;31;14;11;87;39
Хапоэль Афула;56;18;22;16;71;-2
Медзь Легница;56;26;14;16;91;30
Виборг;56;35;8;13;125;58
Мура;56;27;14;15;88;35
Политехника Яссы;56;14;32;10;55;-48
Панатинаикос;56;20;18;18;60;4
Овьедо;56;16;16;24;61;-1
Кьяссо;56;12;31;13;60;-46
Алавес;56;13;28;15;49;-41
Кадис;56;17;22;17;51;-22
Вулверхэмптон;56;20;26;10;52;-20
Хаддерсфилд Т;56;14;27;15;55;-26
Порденоне;56;15;20;21;58;-1
Динамо Бухарест;56;18;26;12;54;-14
Нагоя Грампус;56;31;15;10;71;26
Олимпиакос Никосия;56;24;21;11;76;1
Олимпия;56;31;11;14;115;59
Антверпен;56;28;19;9;86;5
АПОЭЛ Никосия;56;24;18;14;75;18
Гойяс;56;14;27;15;59;-29
Аль-Садд;56;40;7;9;154;103
Плимут Аргайл;56;19;26;11;70;-26
Джиллингем;56;22;22;12;73;-2
Вердер;55;20;22;13;78;2
Заря Луганск;55;26;15;14;79;20
Ружомберок;55;19;23;13;72;1
Фремад Амагер;55;20;25;10;86;12
Хапоэль Тель-Авив;55;16;23;16;42;-24
Искра Даниловград;55;21;13;21;62;20
Млада Болеслав;55;17;22;16;83;-5
Градец Кралове;55;28;10;17;102;43
Пройссен Мюнстер;55;32;11;12;95;41
Арка Гдыня;55;26;14;15;93;31
Хапоэль Ноф ХаГалиль;55;28;8;19;85;44
Пуща Неполомице;55;21;23;11;66;-5
Ст. Пельтен;55;14;30;11;68;-28
Сталь Жешув;55;24;18;13;95;20
Погонь Седльце;55;24;22;9;98;8
Радомяк Радом;55;29;10;16;89;38
ГКС Тыхы;55;25;17;13;80;19
Хорн;55;13;31;11;78;-48
Хайдук Сплит;55;28;20;7;78;12
Волунтари;55;19;24;12;61;-10
Вадуц;55;21;21;13;85;3
Сьон;55;14;21;20;73;-11
Трабзонспор;55;27;11;17;82;21
Сельта;55;19;19;17;86;6
Кринс;55;16;24;15;77;-13
Аланьяспор;55;24;20;11;87;22
Намунго;55;18;20;17;51;-6
Эйбар;55;11;25;19;50;-26
Анкарагюджю;55;14;30;11;60;-26
Юргорден;55;29;18;8;99;44
Асколи;55;16;25;14;57;-21
Кристал Пэлас;55;16;27;12;53;-37
Брайтон;55;15;20;20;57;-10
Фулхэм;55;13;25;17;45;-26
Пескара;55;11;28;16;45;-39
Перуджа;55;29;13;13;89;36
Лечче;55;21;16;18;95;16
Стад Ренн;55;21;21;13;69;7
Наутико Капибарибе;55;21;16;18;70;7
Рода;55;20;20;15;90;-5
Мамелоди Сандаунз;55;31;6;18;90;53
Лейтон Ориент;55;22;23;10;67;-1
Рочдейл;55;14;26;15;68;-21
Магдебург;54;18;20;16;61;-6
Славен Белупо;54;13;24;17;59;-17
Мюнхен 1860;54;23;15;16;92;34
Вайле;54;20;17;17;80;3
Эредиано;54;21;15;18;85;22
Видзев Лодзь;54;17;22;15;58;-6
Заглембе Сосновец;54;17;27;10;60;-6
Скиве;54;19;25;10;65;-22
Вараждин;54;19;24;11;63;-11
Риу-Аве;54;16;20;18;53;-12
Астерас Триполис;54;21;12;21;64;11
Славия София;54;17;26;11;55;-22
Ст. Галлен;54;22;19;13;90;13
Хетафе;54;12;26;16;38;-28
Ени Малатьяспор;54;16;21;17;69;4
Саутгемптон;54;22;22;10;73;-6
Верона;54;14;22;18;66;-13
Сассуоло;54;23;15;16;97;13
Кьево;54;19;14;21;70;16
Андерлехт;54;22;10;22;83;27
Аполлон Лимасол;54;34;8;12;111;68
Сан-Паулу СП;54;23;15;16;94;21
Бразильенсе;54;40;8;6;116;70
Раджа Касабланка;54;32;6;16;85;49
Пеньяроль;54;25;12;17;87;34
Кру Александра;54;21;19;14;68;-7
Бертон Альбион;54;15;23;16;72;-18
Аккрингтон Стэнли;54;22;17;15;84;6
Порт Вейл;54;21;23;10;69;2
Айнтрахт Брауншвейг;53;18;23;12;63;-22
Ганза Росток;53;28;11;14;83;37
Хапоэль Беэр-Шева;53;16;16;21;61;2
Пяст Гливице;53;24;15;14;75;21
Радник Сурдулица;53;21;20;12;87;9
Яблонец;53;25;16;12;79;5
Виктория Жижков;53;26;21;6;79;4
Эсбьерг;53;23;20;10;77;-2
Пардубице;53;25;15;13;72;12
Хапоэль Рамат-Ган;53;19;15;19;73;17
Хробры Глогув;53;23;17;13;62;4
Инджия;53;14;32;7;44;-50
Высочина Йиглава;53;18;22;13;91;1
Олимпия Грудзендз;53;14;30;9;60;-34
Уэска;53;15;22;16;57;-10
Тренчин;53;18;25;10;76;-20
Касымпаша;53;19;22;12;72;2
Генчлербирлиги;53;15;28;10;56;-38
Ризеспор;53;17;23;13;77;-10
Кремонезе;53;20;17;16;67;10
Бернли;53;16;23;14;49;-23
Козенца;53;15;18;20;57;-9
Пиза;53;18;17;18;74;-7
Ботошани;53;18;23;12;65;-3
Фатих Карагюмрюк;53;22;14;17;86;19
Болонья;53;15;22;16;69;-19
Борац Баня-Лука;53;33;13;7;96;45
Пирамидс;53;29;9;15;82;34
АЗ Алкмар;53;28;13;12;92;35
Орландо Пайретс;53;25;10;18;62;21
ЛДУ Кито;53;26;11;16;98;33
Уолсолл;53;11;18;24;50;-13
Платенсе;53;15;19;19;63;-22
Виктория Кельн;52;18;19;15;73;-8
Уйпешт;52;22;18;12;84;3
Сигма Оломоуц;52;17;19;16;60;-3
Динамо Брест;52;32;12;8;118;61
Галлешер;52;17;20;15;76;-12
Фредерисия;52;22;23;7;76;-2
Хапоэль Петах-Тиква;52;18;20;14;45;-7
Хапоэль Раанана;52;13;23;16;64;-10
Олимпия Эльблонг;52;14;24;14;55;-17
Одра Ополе;52;22;15;15;62;2
Амштеттен;52;18;24;10;67;-22
Левски София;52;20;22;10;60;3
ОФИ;52;8;32;12;39;-41
Астра Джурджу;52;16;18;18;66;5
Ракув Ченстохова;52;31;10;11;93;39
Кайсериспор;52;15;21;16;58;-8
Гезтепе;52;15;21;16;79;-6
Газиантеп ББ;52;21;13;18;81;16
Эльфсборг;52;25;11;16;88;26
Пахтакор;52;34;9;9;116;73
Астон Вилла;52;20;21;11;69;6
Ростов;52;19;22;11;64;-3
Вест Бромвич;52;9;25;18;55;-35
Серро Портеньо;52;30;10;12;72;26
Гамба Осака;52;24;18;10;58;-3
Мехелен;52;19;20;13;79;-19
Дирианген;52;31;12;9;89;41
Монако;52;33;10;9;105;48
Борхэм Вуд;52;16;18;18;64;0
Гент;52;19;25;8;71;-4
Анортосис Фамагуста;52;24;15;13;69;15
Этникос Ахнас;52;18;21;13;67;-10
Ноттс Каунти;52;25;15;12;80;26
Хиберниан;52;27;13;12;75;26
Пайсанду;52;27;13;12;78;32
НЕК Неймеген;52;29;14;9;100;38
Аль-Ахли Джидда;52;19;23;10;74;-17
Фейеноорд;52;24;13;15;86;33
Болтон Уондерерс;52;24;18;10;69;5
Арминия Билефельд;51;16;20;15;51;-20
Кайзерслаутерн;51;14;13;24;65;3
Зонненхоф Гроссашпах;51;13;26;12;62;-26
Меппен;51;18;26;7;59;-23
Вальдхоф Мангейм;51;17;18;16;65;-8
Черно Море Варна;51;25;16;10;75;21
Ботев Враца;51;17;26;8;57;-10
Горица;51;13;29;9;49;-42
Сувон Блюуингс;51;18;15;18;58;10
Хапоэль Хайфа;51;13;22;16;64;-18
Бейтар Иерусалим;51;14;16;21;58;-1
Люнгбю;51;14;23;14;80;-12
Орхус;51;23;15;13;79;13
Хапоэль Кфар-Саба;51;11;26;14;44;-21
Дукла Прага;51;23;16;12;95;27
Ашдод;51;22;18;11;76;14
Приштина;51;30;9;12;93;54
Зальцбург;51;35;10;6;156;97
Гарбарния Краков;51;22;16;13;76;10
Санта Клара;51;19;20;12;71;9
Середь;51;17;20;14;72;-6
Блау-Вайс Линц;51;30;16;5;107;40
Рид;51;18;20;13;82;-7
Алюминий;51;15;20;16;53;-15
Волос;51;14;20;17;46;-15
Тун;51;24;15;12;84;13
Спартак Трнава;51;23;18;10;78;22
Капфенберг;51;14;29;8;60;-46
Атромитос Афины;51;15;17;19;55;-4
Хаммарбю;51;20;13;18;88;15
Дегерфорс;51;30;9;12;100;52
Хальмстад;51;27;10;14;87;45
Хатайспор;51;23;14;14;81;18
Юве Стабия;51;20;21;10;66;-1
Салернитана;51;22;12;17;67;12
Беневенто;51;13;23;15;57;-35
Динамо М;51;26;16;9;74;22
Сагамихара;51;19;14;18;56;-3
Акрон Тольятти;51;11;23;17;42;-23
Чайка Песчанокопское;51;19;18;14;62;-5
Насьональ Асунсьон;51;14;14;23;59;4
Бруске;51;23;13;15;66;6
Кастельон;51;13;27;11;40;-22
Парана Куритиба;51;13;25;13;46;-20
Витория Сальвадор;51;13;14;24;62;7
Интернасьонал РС;51;27;12;12;80;34
Гремио РС;51;22;9;20;67;22
Кайзер Чифс;51;14;18;19;52;-10
Консадоле Саппоро;51;18;19;14;73;-4
Барроу;51;13;23;15;55;-7
Альтос;51;27;12;12;82;28
Аугсбург;50;16;24;10;62;-13
Айнтрахт Франкфурт;50;23;12;15;94;16
Унтерхахинг;50;10;30;10;52;-29
Цвиккау;50;15;19;16;60;-5
Словацко;50;25;17;8;87;29
Нюкебинг;50;25;11;14;95;34
Лехия Гданьск;50;22;16;12;81;18
Теплице;50;15;23;12;64;-23
Опава;50;5;30;15;38;-56
Усти-над-Лабем;50;22;18;10;64;-8
Мидтьюланд;50;28;13;9;79;24
Хапоэль Акко;50;11;18;21;44;-12
Маккаби Ахи Назарет;50;16;20;14;54;-12
Опатия;50;16;16;18;66;-8
Секция Нес-Циона;50;19;16;15;48;-7
Знич Прушкув;50;19;23;8;61;-15
Русенборг;50;30;11;9;99;43
Лариса;50;11;26;13;39;-29
Залаэгерсег;50;18;18;14;82;7
Виль;50;14;22;14;58;-19
Хельсингборг;50;12;19;19;59;-6
Гетеборг;50;12;13;25;63;1
Рига ФК;50;33;13;4;103;57
Стад Лозанна-Уши;50;18;14;18;75;7
Кротоне;50;11;29;10;61;-40
Уфа;50;13;21;16;46;-9
Васко да Гама;50;13;23;14;48;-28
Кармиотисса;50;7;27;16;52;-65
Динамо Брянск;50;15;27;8;42;-29
Самора;50;21;16;13;62;4
Сабадель;50;15;19;16;49;-6
Енисей Красноярск;50;27;16;7;77;21
Анжер;50;19;21;10;60;-11
Гуайренья;50;14;17;19;54;-4
Копер;50;20;20;10;72;4
Эмелек;50;25;12;13;80;23
Крузейдерс;50;23;18;9;76;20
Истли;50;20;15;15;62;10
Ротерхем Юн;50;12;27;11;49;-16
Дефенса и Хустисия;50;21;16;13;73;5
Уокинг;50;13;27;10;56;-21
Нюрнберг;49;16;18;15;69;-6
Бохум;49;26;14;9;87;26
Пакш;49;22;13;14;115;30
ХБ Кеге;49;15;20;14;58;-9
Висла Краков;49;17;19;13;69;0
Раднички Ниш;49;19;18;12;59;1
Бачка Паланка;49;7;33;9;38;-41
Титоград;49;8;24;17;32;-37
Унион Берлин;49;20;12;17;77;11
Пушкаш Академия;49;25;16;8;78;18
Краковия Краков;49;14;18;17;53;-4
Хобро;49;16;20;13;70;-7
Бней Сахнин;49;18;20;11;47;-6
Зброевка Брно;49;16;19;14;72;2
Маккаби Нетания;49;20;19;10;66;9
Вигры Сувалки;49;20;19;10;61;2
Белененсеш;49;12;19;18;38;-21
Интер Запрешич;49;12;27;10;56;-20
Боавишта;49;12;22;15;53;-17
Люцерн;49;17;20;12;79;-6
Пасуш-Феррейра;49;22;17;10;67;0
Гиляни;49;22;11;16;69;24
Цюрих;49;17;23;9;77;-3
Боде/Глимт;49;36;5;8;144;91
Варберг;49;17;21;11;72;-2
Денизлиспор;49;7;30;12;44;-47
Ахмат;49;20;16;13;65;3
Сочи;49;24;13;12;82;29
Лидс Юн;49;25;17;7;84;21
Локомотив Тбилиси;49;20;18;11;84;11
Персеполис Тегеран;49;31;5;13;80;49
Новара;49;16;19;14;67;-10
Альбинолеффе;49;18;13;18;54;8
Чертаново;49;15;29;5;49;-29
Соль де Америка;49;10;22;17;58;-18
Остенде;49;21;19;9;80;5
Мотеруэлл;49;15;21;13;57;-17
Реймс;49;13;18;18;55;-10
Барнет;49;11;31;7;45;-54
ФК Картахена;49;12;23;14;47;-15
Ливингстон;49;19;18;12;68;6
АЕК Ларнака;49;19;22;8;79;23
Нефтехимик;49;21;17;11;71;10
Гленторан;49;23;9;17;74;32
Докса Катокопия;49;17;19;13;61;4
ПАС Янина;49;19;20;10;51;-7
Уэлдстон;49;12;30;7;58;-60
Ларн;49;25;12;12;83;35
Честерфилд;49;22;18;9;65;11
Шабаб Аль-Ахли Дубай;49;27;6;16;88;44
Токусима Вортис;49;20;18;11;56;6
Шальке-04;48;9;30;9;51;-56
Майнц;48;16;21;11;70;-4
Карлсруэ;48;20;12;16;73;13
Вюрцбург Киккерс;48;14;24;10;67;-22
Арарат-Армения;48;16;12;20;59;14
Кишварда;48;21;15;12;50;4
Славой Вышеград;48;6;33;9;46;-61
Штутгарт;48;21;17;10;89;18
Висла Плоцк;48;16;19;13;60;-5
Бней Йегуда;48;15;17;16;56;-5
Адмира;48;11;25;12;47;-39
Хапоэль Ирони Кирьят-Шмона;48;16;19;13;48;-12
Сталь Мелец;48;15;17;16;59;-6
Варнсдорф;48;13;21;14;46;-22
Жил Висенте;48;16;23;9;53;-8
Морнар Бар;48;25;11;12;91;46
Маритиму;48;15;22;11;45;-16
Витория Гимарайнш;48;15;19;14;51;-8
Форвертс Штайр;48;13;23;12;53;-36
Морейренше;48;14;15;19;48;-10
Ваккер Инсбрук;48;24;15;9;77;10
Ламия;48;11;17;20;36;-19
Мьяльбю;48;23;12;13;69;16
Урал;48;16;16;16;53;-5
Ливорно;48;8;27;13;49;-26
Вашаш;48;31;8;9;92;45
Падова;48;30;10;8;83;48
Феральпизало;48;21;16;11;60;4
Монастир;48;20;14;14;60;14
Логроньес УД;48;13;22;13;33;-27
Сакарьяспор;48;26;7;15;89;43
Спортиво Лукеньо;48;14;23;11;50;-23
Сан-Луис;48;15;18;15;47;-4
Уэймут;48;14;27;7;56;-24
Тулуза;48;26;10;12;85;36
Абердин;48;19;17;12;49;1
НАК Бреда;48;27;12;9;91;36
Сабах;48;12;23;13;53;-22
Олдершот;48;18;21;9;75;2
Депортес Толима;48;18;12;18;60;19
Колос Ковалевка;47;16;13;18;54;5
Шахтер Солигорск;47;30;10;7;87;47
Хольштайн Киль;47;22;13;12;81;20
Ганновер 96;47;18;22;7;76;4
Канвон;47;14;18;15;56;-9
Младость Лучани;47;19;17;11;55;-14
Жарково;47;18;19;10;47;-15
Хайденхайм;47;18;19;10;63;-3
Корона Кельце;47;15;22;10;49;-22
Карвина;47;11;19;17;52;-17
Колубара;47;31;9;7;86;44
Портимоненше;47;14;23;10;50;-7
Варта Познань;47;20;19;8;55;3
Тондела;47;14;25;8;49;-28
Лиферинг;47;28;8;11;109;59
Нитра;47;11;24;12;46;-22
Заглембе Любин;47;17;17;13;63;1
Акрополис;47;14;12;21;61;-3
ГАИС;47;17;18;12;49;-9
Эргрюте;47;11;26;10;45;-30
Норрбю;47;16;19;12;65;6
Торнс;47;15;15;17;65;-3
Броммапойкарна;47;29;6;12;102;64
Рубин Казань;47;23;14;10;70;16
Оренбург;47;23;11;13;65;18
Химки;47;21;17;9;66;1
Арджеш Питешти;47;16;17;14;53;-7
Шарлеруа;47;15;19;13;62;-6
Камбур;47;35;6;6;143;92
Генк;47;28;10;9;99;41
Факел Воронеж;47;20;12;15;66;22
Лорьян;47;15;21;11;60;-17
Олтринхэм;47;16;20;11;54;-10
Америка РН;47;26;10;11;87;46
Томь;47;13;23;11;40;-17
Барселона Гуаякиль;47;26;6;15;77;44
Карабах;47;26;7;14;91;61
Барселона (ж);47;42;3;2;196;174
Виченца;47;14;16;17;62;-8
Ковентри С;47;14;19;14;43;-17
Америка де Кали;47;17;14;16;54;9
Индепендьенте Медельин;47;17;16;14;63;13
Бромли;47;22;11;14;71;16
Гурник Забже;46;19;18;9;59;3
Петровац;46;12;18;16;50;-5
Пршибрам;46;8;24;14;38;-44
Тршинец;46;12;22;12;53;-26
Эрцгебирге Ауэ;46;18;20;8;62;-5
Кельн;46;12;22;12;58;-25
Картахинес;46;18;16;12;67;8
Фамаликан;46;15;16;15;59;-2
Теута Дуррес;46;23;10;13;62;22
Гройтер Фюрт;46;21;10;15;81;24
Лудогорец;46;29;10;7;91;40
Капошвар;46;8;23;15;47;-36
Шаффхаузен;46;14;16;16;73;-5
Викинг;46;18;15;13;83;6
Оснабрюк;46;13;23;10;50;-26
Силькеборг;46;30;10;6;107;61
Панаитоликос;46;10;23;13;33;-30
Далкурд;46;14;17;15;61;-2
Вентспилс;46;16;17;13;57;0
Престон Норт Энд;46;16;20;10;54;-5
Триестина;46;18;13;15;56;7
Алессандрия;46;22;12;12;58;19
Рапид Бухарест;46;23;11;12;77;18
Гавр;46;14;18;14;51;-21
Нант;46;12;19;15;61;-3
Шотт Майнц;46;13;26;7;69;-33
Рот-Вайс Ален;46;12;18;16;63;-13
Росс Каунти;46;15;23;8;52;-26
Колрейн;46;23;8;15;67;23
Килмарнок;46;14;25;7;58;-6
Сараево;46;27;7;12;73;37
Аль-Масри;46;20;10;16;58;16
Линфилд;46;28;12;6;94;47
Аль-Кувейт;46;24;6;16;90;43
Эрмис Арадиппу;46;12;23;11;43;-21
Бока Хуниорс;46;22;10;14;62;30
Ла Экидад;46;20;14;12;55;7
Леонес;46;15;16;15;55;4
Спутник Речица;45;20;18;7;64;0
Кеннам;45;15;15;15;60;-2
Графичар Белград;45;18;12;15;64;17
Рудар Плевля;45;14;23;8;45;-22
Гамбург;45;21;12;12;89;25
Соннам;45;13;20;12;40;-15
Явор Иваница;45;15;18;12;59;-8
Земун;45;9;29;7;29;-38
Нымме Калью;45;22;13;10;89;46
Маккаби Петах-Тиква;45;18;20;7;41;-11
Судува Мариямполе;45;27;9;9;66;29
Дреница;45;13;20;12;46;-14
Сеница;45;15;20;10;58;-13
Лапи;45;15;22;8;62;-17
Рауфосс;45;17;14;14;87;11
Хрватски Драговоляц;45;21;13;11;68;5
Норрчепинг;45;20;13;12;93;33
Бурсаспор;45;17;20;8;67;-7
Тамбов;45;8;32;5;39;-51
Сабуртало Тбилиси;45;21;10;14;74;22
Динамо Тбилиси;45;26;14;5;68;22
Перголеттесе;45;14;21;10;53;-10
Тернана;45;31;5;9;105;65
