0;0;Ger. 9 матчей. Хозяева;Гости;0;0
0;2;Хоффенхайм;Лейпциг;2;9
2;1;Гранада;Хетафе;2;20
1;1;Валенсия;Леванте;1;89
2;2;Синие Птицы;Рыжие лисы;1;20
3;5;Синие Птицы;Белые розы;2;3
4;6;Рыжие лисы;Белые розы;2;3
3;4;Рыжие лисы;Синие Птицы;1;8
3;4;Белые розы;Синие Птицы;1;5
5;6;Белые розы;Рыжие лисы;1;10
3;5;Желтые Тюльпаны;Красные Маки;1;5
1;4;Желтые Тюльпаны;Зеленые Береты;2;2
4;4;Красные Маки;Зеленые Береты;2;1
2;5;Красные Маки;Желтые Тюльпаны;2;9
4;7;Зеленые Береты;Желтые Тюльпаны;2;6
6;4;Зеленые Береты;Красные Маки;1;22
4;4;Желтые Тюльпаны;Красные Маки;1;6
3;4;Желтые Тюльпаны;Зеленые Береты;1;6
4;8;Красные Маки;Зеленые Береты;2;1
0;1;Морейренше;Риу Аве;2;36
1;0;Спортинг Лиссабон;Пасуш Феррейра;1;64
1;3;Малага;Уэска;2;3
1;0;Фуэнлабрада;Тенерифе;1;45
1;1;Эльче;Эстремадура;1;22
0;0;Овьедо;Понферрадина;0;0
0;0;Spa. 4 матча. Хозяева;Гости;0;0
0;1;Минск;Ислочь;2;56
3;0;Городея;Слуцк;1;34
0;0;Blr. 8 матчей. Хозяева;Гости;0;0
0;1;Динамо Дрезден;Гамбург;2;84
0;0;Зандхаузен;Арминия Билефельд;0;0
0;0;Ger. 9 матчей. Хозяева;Гости;0;0
2;3;Меппен;Галлешер;2;45
5;1;Неман Гродно (р);Смолевичи (р);1;17
2;2;Торпедо Жодино (р);Динамо Брест (р);1;16
5;1;Неман Гродно (р);Смолевичи (р);1;16
2;2;Торпедо Жодино (р);Динамо Брест (р);1;16
3;1;БАЙ Торпедо Минск;Селтик Минск;2;15
3;1;Ордабасы U21;Академия Онтустик U19;2;30
2;0;Спартак Трнава U19;Сеница U19;1;42
6;0;Славия Прага U19;Дукла Прага U19;1;7
0;0;АК Оулу;РоПС;0;0
1;0;Хака;Турку ТПС;1;14
2;1;Контум;Санвинец Фишсан Кхан Хоа;1;59
1;4;Бинь Тхуан;Донг Наи Бержайя;2;45
2;2;Сьон;Кьяссо;2;2
4;2;Янг Бойз Берн;Винтертур;2;2
0;6;Шаффхаузен;Цюрих;2;38
1;0;Ханачка Славия;Годонин;1;40
3;0;Искра Усти над Орлици;Летоград;1;14
2;0;Сигма Оломоуц 2;Уничов;1;30
2;4;Фридек Мистек;Одра Петршковице;2;15
0;2;Сокол Ланжот;Бланско;2;66
0;2;Долни Бенешов;Глучин;2;5
1;3;Мутенице;Зноймо;2;25
2;4;Страни;Фастав Злин 2;2;16
