0;1;Ротерхем Юн;Ковентри С;2;70
0;2;Атлетико Феникс;Монтевидео Сити Торке;2;19
3;1;Сендерюске;Митьюлланд;1;49
1;1;Раннерс;АГФ Орхус;2;24
2;1;ФК Торонто;Леон;1;55
0;1;Америка Мехико;Олимпия Тегусигальпа;2;50
4;0;Филадельфия Унион;Депортиво Саприсса;1;47
0;0;ЧФР Клуж;ФКСБ;0;0
1;1;Рома;Аякс;2;49
2;1;Вильярреал;Динамо Загреб;1;36
2;0;Манчестер Юн;Гранада;1;6
0;4;Славия Прага;Арсенал;2;18
1;0;Рома Аякс Джеко Э;Тадич Д;0;0
0;0;uef. 4 матча. Хозяева;Гости;0;0
2;0;Аль Духаиль;Аль Шорта Багдад;1;36
2;2;Аль Хиляль Эр Рияд;АГМК;2;11
0;0;Истиклол;Шабаб Аль Ахли Дубай;0;0
5;2;Эстегляль Тегеран;Аль Ахли Джидда;1;1
2;5;Аль Ахли Джидда;Эстегляль Тегеран;2;5
0;1;Монополи;Казертана;2;33
1;1;Кубань Холдинг;ПФК Кубань;2;49
2;2;ФК Краснодар 3;Интер Черкесск;2;11
0;1;Биолог Новокубанск;Динамо Ставрополь;2;55
2;5;Дружба Майкоп;Форте Таганрог;2;7
4;1;Черноморец Новороссийск;Анжи Махачкала;1;6
1;2;Палмейрас СП;Дефенса и Хустисия;1;23
1;2;Гремиу П А;Индепендьенте дель Валье;1;22
1;2;Гремиу П А;Индепендьенте дель Валье;1;22
4;1;Атлетико Насьональ;Либертад Асунсьон;2;2
2;0;Остенде U21;Стандард Льеж U21;1;3
1;1;Северная Македония U19;Черногория U19;1;36
5;1;ФК Витебск (р);ФК Слуцк (р);2;2
0;5;Спутник Речица (р);Ислочь Минск (р);2;15
2;3;Литекс Ловеч;Септември София;1;3
3;0;Лудогорец 2 Разград;Янтра Габрово;1;30
0;0;Созопол;Септември Симитли;0;0
1;2;МТК Будапешт;Фехервар;1;14
1;2;АСУ Политехника Тимишоара;Рапид Бухарест;1;30
0;2;Конкордия Кьяжна U19;ФКСБ U19;2;32
1;1;Диназ Вышгород;Подолье Хмельницкий;2;52
0;2;ФК Львов U21;Александрия U21;2;32
5;0;Партик Тисл;Монтроуз;1;20
0;1;Клайд;Дамбартон;2;45
4;0;Странраер;Стенхаусмюир;1;17
0;3;ЖСМ Скикда U21;МК Алжир U21;2;12
1;1;Аль Масри;Тала Аль Джаиш;1;30
1;0;Вади Дегла;Аль Иттихад Александрия;1;58
4;0;Дайс;Тилак Мемориал;1;35
0;0;Ребелс;Мохаммедан;0;0
2;4;Веклс;Саут Индиан;2;14
1;0;Сеса ФА;Панджим Футбалерс;1;19
1;6;Голден Тред;Керала Юнайтед;2;3
2;2;CФК Лука;Баско Отуккунгал;2;8
1;1;Саголбанд Юнайтед;Кхетри Ирил Мапал Юс Клаб;2;12
2;1;Класа;Нерока;1;38
0;0;Персия Джакарта;ПСМ Макассар;0;0
2;2;Аль Ахли Доха;Месаймир;2;5
0;1;Аль Хор;Аль Бидда;2;86
2;0;Абдыш Ата Кант;ПФК Нефтчи;1;11
1;3;Аль Салмия;Казма СК;1;24
0;2;Аль Сахель Абу Халифа;Хайтан;2;4
1;0;Юниспорт Бафанг;ОФТА Криби;1;90
2;0;Фонча Стрит Баменда;Эгль Рояль Менуа;1;44
1;1;Лион Блессе;АС ФАП;1;68
3;2;Стад Бертуа;Леопард Спортиф Дуала;1;15
2;0;Расинг Бафусам;Ренессанс Нгуму;1;34
1;0;Абха;Аль Айн Эль Баха;1;20
1;1;Аль Мохафза U21;Аль Карама Хомс U21;2;22
1;0;Джаблех U21;Аль Джайш Дамаск U21;1;68
1;2;Аль Талия U21;Аль Иттихад Алеппо U21;2;42
3;3;Аль Хория U21;Аль Навейр U21;1;12
0;2;Аль Вахда Дамаск U21;Тишрин U21;2;5
1;3;Чигатай;ФК Гиждуван;2;34
1;1;Барока;Кайзер Чифс;2;58
4;1;Мамелоди Сандаунз;Орландо Пайретс;1;13
2;2;Сан Мартин Сан Хуан;Расинг Авельянеда;2;34
2;0;Индепендьенте Санто Томе;Насьональ Санта Фе;1;63
1;1;Америка Минейро;Ферровиарио Форталеза;1;18
1;1;АБС Натал;Ботафого РЖ;1;11
0;1;Америка РН;Крузейро;2;83
2;0;Кэпитал КФ;Санта Мария;1;49
1;0;Бразильенсе;Сейландия;1;6
1;6;Айморе;Интернасьонал Порту Алегре;2;19
1;1;Гойяс;Апаресиденсе;2;80
1;0;Жатаиенсе;Анаполис;1;82
2;0;Реал Нороесте;Пиньерос;1;84
2;1;Мото Клаб;Сампайо Корреа;2;30
1;3;Ирандуба да Амазониа;Манаус;1;68
3;0;Операрио МС;Новоперарио;1;34
4;0;Оланчо ФК;КД Интер;1;40
2;0;Вальедупар;Бока Хуниорс Кали;1;82
1;3;Леонес;Реал Сан Андрес;2;17
1;1;Универсидад Гвадалахара;Алебрихес Оахака;1;64
1;2;Пумас Табаско;Канкун;1;36
0;1;Венадос;Атланте;2;19
1;2;Сан Маркос;Депортиво Масая;2;2
1;2;ФК Гутьеррес;Матигуас;1;13
1;3;Реал Шолотлан;Америка ЖДЕ;2;6
1;0;Верагуас;Тауро;1;67
1;1;Атлетико Насьональ Панама;Атлетико Чирики (р);2;28
1;0;Панама Оэсте;Эррера (р);1;5
2;0;Панама Сити;Спортинг Сан Мигелито (р);1;56
2;1;Сесар Вальехо;Карлос Мануччи;2;75
0;1;Альянса Атлетико;ФК Аякучо;2;79
0;1;Депортиво Универсидад Сан Мартин;Университарио Депортес Лима;2;27
2;0;Индиана (студ);Мэриленд (студ);1;47
0;1;Орландо Прайд (ж);ФК Готэм (ж);2;79
2;3;Универсидад Католика;Эмелек;2;7
2;1;Гуаякиль СК;Эль Насьональ Кито;2;9
1;1;Соль ФК;Сосьете Омниспортс де Л'Арме;2;15
2;0;ФК Буаке;Танда;1;78
1;1;АСЕК Абиджан;Расинг Клуб Абиджан;1;30
1;1;Мбейл Хироус;Аруа Хилл;1;20
3;2;ФК Каддафи;Блэкс Пауэр;2;33
2;0;Ниамитиабора;Пролайн;1;45
2;1;Луверо Юнайтед;Киджези Хоумбойз;2;57
2;1;Келвери;Мэрунс;1;3
2;0;Туро Юнайтед;Терразо энд Тайлс;1;26
2;0;Ндежж Юниверсити;Уотер;1;26
1;1;Грин Стритс;Иглз;2;14
1;1;ФК ДТБ;Млале;2;11
0;1;Лафиа Клуб де Бамако;Стад Мальен Бамако;2;50
0;8;Бразерс Юнайтед;Нортер;2;8
3;0;ФК Пунсум;Мотитханг Юнайтед;1;2
7;0;Расинг Клуб Аруба;Ла Фама;1;27
1;1;Санта Колома;Атлетик Эскальдес;2;72
0;1;Пенн Стэйт (ж);Айова (ж);2;49
1;3;Альянса Сальвадор (ж);Мунисипаль Лимено (ж);1;15
2;1;Арарат Армения;Ширак Гюмри;1;10
2;3;Арарат Ереван;ФК Ноа;1;2
0;1;Монтана;Локомотив Пловдив;2;74
2;3;Самтредиа;Сабуртало Тбилиси;2;9
1;1;Атлетико Унион Гимар;Вера;2;44
4;1;Флорешты;Динамо Авто;1;30
1;2;Кодру Лозова;Сфынтул Георге Суручены;1;10
6;1;Сахалинец;Спортакадемклуб;1;21
2;0;Родина 2;Аврора;1;40
1;4;Болуспор;Умраниеспор;2;18
2;2;Анкараспор;Алтай;1;9
2;1;Бурсаспор;Бандырмаспор;2;45
3;3;Афжет Афьонспор;Хекимоглу Трабзон;2;17
2;1;Коджаэлиспор;Шанлыурфаспор;1;7
2;0;Эргене Велимешеспор;Амедспор;1;1
4;1;Ниджде;Кахраманмарашспор;2;21
0;0;Маниса;Хаджеттепеспор;0;0
0;0;Инегелспор;24 Эрзинджанспор;0;0
0;1;Чорум Беледиеспор;Ушакспор;2;61
1;1;Сарыер;Зонгулдакспор;2;9
2;1;Анкара Демирспор;Санджактепе;2;22
0;0;Байбурт Озел Идаре;Караджабей Беледиеспор;0;0
0;1;1922 Коньяспор;Эюпспор;2;55
2;1;Пендикспор;Киршехирспор;1;57
2;1;Этимесгут;Киркларелиспор;2;36
2;1;Тургутлуспор;Ванспор;1;17
4;3;Элязыгспор;Бодрумспор;1;14
0;3;Серик Беледиеспор;Сакарьяспор;2;20
2;0;Кастамонуспор;Тарсус Идман Юрду;1;44
2;4;Простеёв;Высочина Йиглава;2;18
1;3;Таллбаджера (р);Неранг 2 (р);2;4
5;0;Сент Джордж Сэйнтс;ФК Вестерн Нью Саут Уэльс;1;9
4;1;ПВФ U19;Нутифуд Академи U19;1;27
0;1;Коканд 1912;Металлург Бекабад;2;90
2;2;Согдиана;Машъал Мубарек;1;19
6;0;Насаф;Сурхон;1;38
2;2;Локомотив Ташкент U21;Бунедкор Ташкент U21;1;36
1;1;Навбахор U21;Турон U21;1;17
0;2;Сан Каэтано ду Сул;Новоризонтино;2;53
3;2;Сан Паулу;Гуарани;2;10
1;2;Итуано;Ботафого СП;2;53
0;1;Витория Сальвадор;Атланта Доси Мел;2;59
3;0;Спорт Ресифе;Витория ПЕ;1;37
4;0;Трезе;Атлетико Кажазейренсе;1;24
0;1;Соуза Параибано;Ботафого ПБ;2;49
3;0;Мунисипаль Гватемала;Малкатеко;1;30
1;1;Депортиво Гуастатоя;Санта Лучия;1;73
1;0;Депортиво Сакачиспас;КСД Комуникасьонес;1;74
1;1;Мунисипаль Перес Селедон;Мунисипаль Гресия;1;16
2;3;Хуарес;Тигрес;2;70
2;1;Полиси Танзания;Намунго;1;8
1;0;Ихефу;Мбея Сити;1;74
0;1;Форест Рейнджерс;НАПСА Старс;2;18
2;2;Зеленые Береты;Красные Маки;2;21
0;2;Зеленые Береты;Черные коты;2;3
3;5;Красные Маки;Черные коты;1;6
5;2;Красные Маки;Зеленые Береты;1;3
3;1;Черные коты;Зеленые Береты;2;3
2;2;Черные коты;Красные Маки;2;18
4;2;Рыжие лисы;Желтые Тюльпаны;1;2
4;2;Рыжие лисы;Синие Птицы;1;10
3;7;Желтые Тюльпаны;Синие Птицы;2;13
4;4;Желтые Тюльпаны;Рыжие лисы;1;1
4;0;Синие Птицы;Рыжие лисы;1;6
0;2;Синие Птицы;Желтые Тюльпаны;2;3
1;1;Шахр Ходро;Зоб Ахан;2;4
