2;0;Лидс Юн;Кристал Пэлас;1;3
2;2;Атлетико Мадрид;Сельта;2;13
1;2;Фаренсе;Морейренше;2;28
2;0;Бенфика;Фамаликан;1;3
1;2;Маритиму;Санта Клара;1;61
1;1;Белененсеш;Витория Гимарайнш;1;31
0;0;Por. 4 матча. Хозяева;Гости;0;0
1;2;Панаитоликос;ПАС Янина;1;16
1;2;Панаитоликос;ПАС Янина;1;16
2;0;Понферрадина;Алькоркон;1;16
2;0;Понферрадина;Алькоркон;1;16
1;1;Луго;Эспаньол;1;9
1;1;Луго;Эспаньол;1;9
0;2;Фортуна Дюссельдорф;Хольштайн Киль;2;36
5;1;Тернана;Казертана;1;27
2;1;Эрмис Арадиппу;Докса Катокопия;2;50
1;0;Бастия;Ле Ман;1;61
0;2;Аль Ахли (Еги);Бавария;2;17
1;2;Машал Муборек;Бунедкор;2;40
5;2;Динамо Киев;БАТЭ Борисов;1;7
5;2;Динамо Киев;БАТЭ Борисов;1;7
2;1;Полис Коммисионари;Электричите ду Камбоджа;1;62
2;2;Витебск;ФК Тверь;1;9
3;2;Томь;Рубин Казань;2;6
1;2;Динамо Зугдиди;Торпедо Кутаиси;1;19
3;1;Гарейи;Мерани Тбилиси;2;24
3;2;ФК Копенгаген (р);Хельсингер;1;11
1;0;Сараево;Триглав Крань;1;72
0;3;Динамо Тбилиси;Сочи;2;10
4;1;Ростов;Локомотив Тбилиси;1;32
2;1;Мохаммедан;Гокулам Керала;1;41
0;0;Черчилл Бразерз;Реал Кашмир;0;0
3;2;Стьюдентс Юнион;Янг Челленджерс;2;36
0;11;Инкам Такс;Деккан;2;7
5;0;Сан Мартин Мендоса;Депортиво Боуэн;1;43
2;1;Уньон де Онкативо;Хенераль Пас Хуниорс;2;4
1;3;Спортиво Тиролеса;Расинг Кордоба;1;12
3;0;Башундара Кингз;Муктижодда;1;10
2;2;Абахани Читтагонг;Уттар Баридара;1;40
0;0;Африка Промо Фут;Уакам;0;0
0;2;Тиес;СОНАКОС;2;19
1;0;БК Милан;Банжул Юнайтед;1;63
1;2;Лестер С U23;Дерби Каунти U23;2;7
1;2;Бернли U23;Сток С U23;2;35
0;1;Ковентри Сити U23;Халл Сити U23;2;63
0;2;Кру Александра U23;Шеффилд Юнайтед U23;2;79
2;2;Хапоэль Бикат Аярден;Маккаби Шаарайим;2;20
1;4;Хапоэль Бней Фурейдис;Ирони Тверия;2;23
0;7;Хапоэль Мигдал;Хапоэль Каукаб;2;4
