0;1;Арминия Билефельд;Лейпциг;2;46
0;0;Ger. 9 матчей. Хозяева;Гости;0;0
5;0;Сочи;Тамбов;1;45
1;3;Рубин Казань;Химки;2;20
1;0;Рубин Химки Деспотович Дж;Макаров Д;0;0
0;1;Рубин Химки Конате М;Мирзов Р;0;0
1;2;Фулхэм;Лидс Юн;2;29
2;0;Бетис;Леванте;1;70
0;0;Spa. 10 матчей. Хозяева;Гости;0;0
1;2;Парма;Дженоа;1;16
2;0;Жил Висенте;Насьональ;1;55
0;0;Por. 9 матчей. Хозяева;Гости;0;0
1;2;Лас Пальмас;Жирона;1;42
3;3;Шаффхаузен;Винтертур;1;10
1;1;Кьяссо;Тун;1;16
4;1;Грассхопперс;Арау;1;6
0;0;Невшатель Ксамакс;Стад Лозанна Уши;0;0
0;1;Славия Мозырь;Торпедо БелАЗ;2;80
2;0;Ислочь Минск;ФК Сморгонь;1;17
2;2;Падерборн 07;Карлсруэ;2;2
2;3;Саарбрюккен;Виктория Кельн;1;6
1;2;Гуайренья;Ривер Плейт Асунсьон;1;51
2;1;Аукас;Гуаякиль Сити;2;27
2;0;Метрополитанос;Академия Пуэрто Кабельо;1;39
1;2;Карлос Мануччи;Мельгар;2;11
0;0;Кобресаль;Палестино;0;0
1;2;Ла Экидад;Депортиво Пасто;1;10
0;1;Бавария;Ман. Сити;2;2
1;0;Бавария;ПСЖ;1;1
0;1;Бавария;Ливерпуль;2;2
0;1;Ман. Сити;Ливерпуль;2;2
0;1;Ман. Сити;ПСЖ;2;2
0;1;Ман. Сити;Челси;2;2
0;1;Порту;Бавария;2;2
0;1;Порту;Реал Мадрид;2;2
0;1;Порту;Боруссия Дортмунд;2;2
0;1;Челси;Ливерпуль;2;2
0;1;Челси;Бавария;2;2
0;1;Челси;ПСЖ;2;2
0;1;Ливерпуль;Порту;2;2
1;0;Ливерпуль;Реал Мадрид;1;1
0;1;Ливерпуль;Боруссия Дортмунд;2;2
0;1;ПСЖ;Ливерпуль;2;2
0;1;ПСЖ;Порту;2;2
0;1;ПСЖ;Реал Мадрид;2;2
0;1;Реал Мадрид;Челси;2;2
0;1;Реал Мадрид;Боруссия Дортмунд;2;2
0;1;Реал Мадрид;Бавария;2;2
0;1;Боруссия Дортмунд;Бавария;2;2
1;0;Боруссия Дортмунд;Ман. Сити;1;1
0;1;Боруссия Дортмунд;Челси;2;2
0;1;Арсенал;Манчестер Юн;2;2
0;1;Арсенал;Аякс;2;2
0;1;Арсенал;Рома;2;2
0;1;Рома;Славия Прага;2;2
0;1;Рома;Гранада;2;2
0;1;Рома;Манчестер Юн;2;2
0;1;Манчестер Юн;Вильярреал;2;2
0;1;Манчестер Юн;Аякс;2;2
0;1;Манчестер Юн;Динамо Загреб;2;2
1;0;Аякс;Рома;1;1
0;1;Аякс;Вильярреал;2;2
0;1;Аякс;Славия Прага;2;2
0;1;Вильярреал;Гранада;2;2
0;1;Вильярреал;Рома;2;2
0;1;Вильярреал;Арсенал;2;2
1;0;Славия Прага;Арсенал;1;1
0;1;Славия Прага;Манчестер Юн;2;2
0;1;Славия Прага;Вильярреал;2;2
0;1;Гранада;Арсенал;2;2
1;0;Гранада;Манчестер Юн;1;1
0;1;Гранада;Аякс;2;2
0;1;Динамо Загреб;Арсенал;2;2
0;1;Динамо Загреб;Рома;2;2
0;1;Динамо Загреб;Аякс;2;2
0;4;Сент Этьен;Монако;2;13
0;0;Fra. 10 матчей. Хозяева;Гости;0;0
2;2;Генк;Стандард Льеж;2;52
0;0;Bel. 9 матчей. Хозяева;Гости;0;0
0;0;Херенвен;Твенте;0;0
0;0;Hol. 9 матчей. Хозяева;Гости;0;0
2;1;Шамбли;Аяччо;1;52
1;3;Динамо Ставрополь;СКА Ростов на Дону;2;16
6;0;Махачкала;Дружба;1;26
1;1;Шоле;Лион Дюшер;1;65
1;0;Вильфранш;Бастия Борго;1;44
1;1;Анси;Стад Бриошен;1;12
0;2;Ле Ман;Конкарно;2;58
0;0;Бур Перонна;Сет;0;0
1;1;Ред Стар;Орлеан;1;3
1;1;Кевийи;Авранш;2;3
3;0;Атлетико Насьональ;Гуарани Асунсьон;1;24
0;1;промахи Тандреволд Ингрид;Алимбекова Динара;0;0
1;1;промахи Хаузер Лиза Тереза;Куклина Лариса;0;0
2;0;промахи Швайгер Ю;Кайшева Ульяна;0;0
0;2;промахи Хеттич Янина;Блашко Дарья;0;0
1;1;промахи Экхофф Тирил;Олсбю Рейселанд Марте;0;0
0;1;промахи Вирер Доротея;Здоуц Дуня;0;0
3;1;промахи Оберг Эльвира;Семеренко Валя;0;0
2;1;ФК Оренбург 2;ФК Чита;1;36
1;2;Олимп Долгопрудный 2;Динамо Москва 2;2;7
0;9;Спартак Москва 2 (люб);Росич М;2;2
0;1;Созопол;Нефтохимик 1962 Бургас;2;85
1;2;Марибор;Браво;2;4
4;0;Гетеборг;Ладскруна БоИС;1;14
1;0;США U23;Коста Рика U23;1;35
4;1;Мексика U23;Доминиканская Республика U23;1;21
3;0;Гондурас U23;Гаити U23;1;14
0;1;Элит Юнайтед;Реал Банжул;2;75
1;2;Банжул Юнайтед;Уоллидан;2;23
3;0;Тоттенхэм U23;Манчестер Юн U23;1;27
1;1;Блэкберн Роверс U23;Брайтон U23;2;9
3;1;Вест Хэм U23;Лестер С U23;1;39
0;1;Норвич Сити U23;Ньюкасл Юн U23;2;90
1;4;Фулхэм U23;Бернли U23;2;52
3;4;Астон Вилла U23;Сток С U23;1;9
0;2;Динамо Брест (р);БАТЭ Борисов (р);2;43
2;2;ФК Минск (р);Рух Брест (р);2;7
4;3;Энергетик БГУ (р);Шахтер Солигорск (р);1;1
2;2;Вестерло;Унион Ст. Жиллуаз;1;42
1;1;Литекс Ловеч;Локомотив София;2;33
0;0;Струмска Слава Радомир;Лудогорец 2 Разград;0;0
5;0;Септември София;Янтра Габрово 2019;1;29
