3;0;Боруссия Дортмунд;Боруссия Менхенгладбах;1;35
1;1;Айнтрахт Франкфурт;Арминия Билефельд;2;51
2;3;Кельн;Хоффенхайм;2;3
1;3;Унион Берлин;Аугсбург;2;40
2;3;Штутгарт;Фрайбург;2;8
1;4;Вердер;Герта;2;42
2;0;Боруссия Д Б Холанд Э;Санчо Дж;0;0
1;1;Урал;Зенит С Петербург;2;4
1;0;Урал Зенит Дзюба А;Азмун С;0;0
0;0;Урал Зенит Бикфалви Э;Эль Кабир О;0;0
5;2;Эвертон;Вест Бромвич;2;10
4;3;Лидс Юн;Фулхэм;1;5
1;3;Манчестер Юн;Кристал Пэлас;2;7
2;1;Арсенал;Вест Хэм Юн;1;25
0;0;Eng. 10 матчей. Хозяева;Гости;0;0
1;0;Хетафе;Осасуна;1;56
2;1;Вильярреал;Эйбар;2;50
2;1;Сельта;Валенсия;1;13
0;0;Spa. 7 матчей. Хозяева;Гости;0;0
1;0;Фиорентина;Торино;1;78
0;0;Верона;Рома;0;0
0;0;Ita. 7 матчей. Хозяева;Гости;0;0
3;3;Насьональ;Боавишта;2;19
3;1;Порту;Брага;2;20
0;2;Панаитоликос;АЕК Афины;2;68
0;1;Кастельон;Малага;2;18
1;1;Мирандес;Овьедо;1;58
2;0;Алькоркон;Тенерифе;1;74
2;1;Райо Вальекано;Сабадель;2;21
2;1;Янг Бойз Берн;Цюрих;2;5
2;1;Лугано;Люцерн;1;20
5;2;Шаффхаузен;Кьяссо;1;6
3;1;Кринс;Ксамакс Невшатель;1;31
1;3;Арау;Виль;1;12
3;2;Селтик;Ливингстон;2;17
2;1;Данди Юн;Ст. Миррен;1;33
2;1;Килмарнок;Гамильтон;1;10
0;1;Ст. Джонстон;Росс Каунти;2;42
0;2;ПФК Александрия;Ворскла Полтава;2;25
1;1;Ингулец Петрово;Десна Чернигов;2;49
3;1;Динамо Киев;ФК Львов;1;48
0;2;Ноттингем Форест;Кардифф С;2;3
5;0;Блэкберн Роверс;Уикомб Уондерерс;1;16
3;0;Брентфорд;Хаддерсфилд Т;1;58
2;1;Лутон Т;Дерби Каунти;1;34
1;1;Мидлсбро;Борнмут;2;38
2;2;Норвич С;Престон Норт Энд;2;14
2;0;Рединг;Барнсли;1;67
0;1;Ротерхем Юн;Миллуолл;2;50
0;0;Шеффилд Уэнсдей;Уотфорд;0;0
0;0;Суонси;Бирмингем C;0;0
4;4;Уимблдон;Плимут Аргайл;2;16
2;0;Блэкпул;Суиндон Т;1;41
0;2;Бристоль Р;Ипсвич Т;2;81
2;1;Бертон Альбион;Аккрингтон Стэнли;1;72
1;3;Чарльтон Атлетик;Донкастер Р;2;25
1;0;Халл С;Кру Александра;1;81
1;2;Милтон Кейнс Донс;Линкольн С;2;11
0;2;Оксфорд Юн;Сандерленд;2;47
2;1;Питерборо Юн;Флитвуд Т;2;55
1;2;Шрусбери Т;Нортгемптон Т;2;12
2;3;Уиган;Джиллингем;1;21
1;1;Витебск;Белшина;1;53
2;1;Динамо Брест;Энергетик БГУ Минск;1;5
