2;1;Бернли;Вулверхэмптон;1;35
1;0;Бернли Вулве Вуд К;Поденсе Д;0;0
1;0;Бернли Вулве Барнс Э;Нету П;0;0
0;0;Бернли Вулве Брэйди Р;Моутинью Ж;0;0
0;0;Бернли Вулве Макнил Д;Саисс Р;0;0
3;0;Челси;Вест Хэм Юн;1;10
2;0;Челси Вест Х Абрахам Т;Алле С;0;0
0;0;Челси Вест Х Вернер Т;Форнальс П;0;0
0;0;Челси Вест Х Пулишич К;Боуэн Д;0;0
0;0;Челси Вест Х Маунт М;Соучек Т;0;0
0;4;Санта Клара;Витория Гимарайнш;2;6
2;2;ПАС Янина;Астерас Триполис;1;23
2;2;АЕК Афины;Волос;1;3
0;2;Мирандес;Альбасете;2;32
1;1;Спортинг Хихон;Леганес;1;86
2;0;Тенерифе;Жирона;1;7
0;0;Spa. 3 матча. Хозяева;Гости;0;0
1;2;Карлсруэ;Гамбург;2;3
1;0;Ливия U20;Алжир U20;1;18
0;0;Тунис U20;Марокко U20;0;0
3;5;Дерби Каунти U23;Блэкберн Роверс U23;2;9
3;5;Дерби Каунти U23;Блэкберн Роверс U23;2;9
7;1;Лидс Юн U23;Фулхэм U23;1;3
7;1;Лидс Юн U23;Фулхэм U23;1;1
1;2;Норвич С U23;Вулверхэмптон U23;2;16
3;0;Кристал Пэлас U23;Ньюкасл Юн U23;1;8
1;2;Норвич Сити U23;Вулверхэмптон U23;2;2
4;3;Сток С U23;Вест Бромвич U23;1;14
4;3;Сток С U23;Вест Бромвич U23;1;1
0;3;Кру Александра U23;Ноттингем Форест U23;2;3
2;3;Суонси U23;Уотфорд U23;1;12
2;1;Уиган Атлетик U23;Барнсли U23;1;53
1;0;Хапоэль Бикат Аярден;Хапоэль Ашкелон;1;64
2;2;Тира;Ирони Тверия;2;12
0;0;Маккаби Тамра;Хапоэль Бней Фурейдис;0;0
2;1;Ахи Бир аль Максур ;Хапоэль Сандала Гильбоа;1;42
3;1;Хапоэль Лод;Хапоэль Йерохам;1;1
1;2;Йонг ПСВ;Алмере Сити;1;4
1;2;Йонг Аякс;Телстар;1;11
1;1;Эшторил;Порту 2;2;39
1;1;Берекум Челси;Адуана Старз;1;25
3;0;Нейшнл Банк;Эль Энтаг;1;49
2;1;Эль Гунах;Исмаили;2;28
3;0;Аль Масри;Асуан;1;62
1;0;АТК Мохун Баган;Бангалор ФК;1;33
3;0;Аль Бидда;Лусаил;1;27
0;3;Аль Салибихает;Ярмук;2;2
3;1;Аль Кадсия;Аль Казма;1;12
3;1;Кадсия;Казма;1;1
0;4;Аль Дафра;Аль Шарджа;2;2
1;0;Баниас Абу Даби;Аль Васл Дубай;1;84
1;2;Аль Батен;Аль Наср Эр Риядд;2;86
1;3;Аль Кадисия;Аль Хилаль Эр Рияд;2;14
4;0;Аль Таавон;Аль Шабаб;1;41
0;0;Аль Иттихад Джидда;Аль Раед;0;0
1;2;Ферро Карриль Оэсте;Платенсе;2;6
1;1;Сан Мартин Сан Хуан;Атлетико Митре;2;80
1;1;Атлас;Клайполе;2;12
1;3;Депортиво Парагвайо;Спортиво Барракас;2;9
3;0;Хувентуд Унида Сан Мигель;Юпанки;1;29
0;0;Эспаньол;Пуэрто Нуэво;0;0
1;0;Атлетико Гуэмес;Атлетико Сармиенто;1;90
0;1;Хувент. Унида Университ.;Уракан Лас Эрас;2;24
1;2;Феникс;Тальерес Ремедиос;2;27
2;2;Дефенсорес Унидос;Депортиво Арменио;2;15
1;1;Берасатеги;Викториано Аренас;1;8
1;0;Депортиво Эспаньол;Эль Порвенир Сан Клементе;1;74
0;1;Экскурсионистас;Леандро Н. Алем;2;85
1;2;Индепендьенте;Бока Хуниорс;1;21
1;3;Уракан;Ривер Плейт;2;27
1;1;Эстудиантес Ла Плата;Расинг Клуб;2;26
4;0;Гуабира;Сан Хосе;1;15
2;0;Ориенте Петролеро;Реал Потоси;1;23
1;0;Насьонал Потоси;Блуминг;1;57
4;3;Фламенго РЖ;Байя;1;5
0;2;Форталеза;Сеара;2;47
2;2;Гуарани;Фигейренсе;1;6
1;0;Регатас;Ботафого СП;1;57
0;1;Парана Куритиба;Бразил де Пелотас;2;63
2;3;Ипиранга РС;Лондрина;1;12
2;2;Аудакс СП U20;Палмейрас U20;1;9
0;1;Палмейра;Алекрим;2;68
0;1;Мотагуа;Платенсе;2;45
