0;2;Арминия Билефельд;Боруссия Дортмунд;2;53
1;1;Айнтрахт Франкфурт;Вердер;2;51
3;1;Аугсбург;Майнц;1;40
1;2;Кельн;Бавария;2;13
1;0;Боруссия Менхенгладбах;Лейпциг;1;60
3;1;Рубин Казань;Арсенал Тула;1;20
1;0;Рубин-Арсена Деспотович Дж;Джорджевич Л;0;0
0;1;Кварацхелия Х;Панченко К;2;83
2;0;Ахмат;Краснодар;1;66
0;1;Спартак М;Ростов;2;26
0;0;СпартМ-Росто Понсе Э;Ларссон Дж;0;0
0;0;СпартМ-Росто Полоз Д;Хасимото К;0;0
2;1;Сочи;Локомотив М;1;14
1;0;Сочи-ЛокоМ Заболотный А;Смолов Ф;0;0
0;0;Rus. 8 матчей. Хозяева;Гости;0;0
0;1;Шеффилд Юн;Манчестер С;2;28
0;3;Бернли;Челси;2;27
2;1;Ливерпуль;Вест Хэм Юн;2;10
0;0;Eng. 3 матча. Хозяева;Гости;0;0
4;1;Реал Мадрид;Уэска;1;40
2;1;Атлетик Бильбао;Севилья;2;9
0;0;АтлетБ-Севил Иньяки У;Окампос Л;0;0
1;3;Осасуна;Атлетико Мадрид;2;43
1;1;Алавес;Барселона;1;31
1;2;Кротоне;Аталанта;2;26
2;2;Интер Милан;Парма;2;46
3;2;Болонья;Кальяри;2;15
0;0;Ita. 10 матчей. Хозяева;Гости;0;0
1;1;Белененсеш;Фаренсе;2;70
2;0;Риу-Аве;Морейренше;1;14
0;0;Маритиму;Насьональ;0;0
2;0;Олимпиакос Пирей;Аполлон Смирнис;1;65
0;2;Атромитос Афины;ПАС Янина;2;37
1;1;Волос;Лариса;2;50
0;2;Ламия;Панатинаикос;2;8
0;0;Gre. 7 матчей. Хозяева;Гости;0;0
3;1;ФК Картахена;Альбасете;1;8
1;2;Лас-Пальмас;Овьедо;2;19
1;1;Кьяссо;Виль;1;50
3;1;Шаффхаузен;Кринс;1;27
2;1;Данди Юн;Росс Каунти;1;19
0;2;Ливингстон;Мотеруэлл;2;22
1;2;Колос Ковалевка;Олимпик Донецк;2;17
2;2;Александрия;Десна Чернигов;2;39
2;1;Динамо Киев;Днепр-1;2;22
1;3;Бристоль С;Норвич С;2;6
1;0;Барнсли;Уотфорд;1;6
1;1;Борнмут;Дерби Каунти;2;14
0;3;Лутон Т;Брентфорд;2;20
1;0;Мидлсбро;Ноттингем Форест;1;81
