2;0;Крылья Советов;Динамо М;1;4
1;0;КрСов ДинамМ Сергеев И;Лесовой Д;0;0
1;2;Арсенал Тула;ЦСКА;1;33
0;0;Арсенал ЦСКА Чалов Ф;Влашич Н;0;0
1;2;Ганновер 96;Вюрцбург Киккерс;1;48
2;5;Хеккен (ж);ФК Алингсос (ж);2;1
1;1;Эль Эстор (ж);ФК Икскан (ж);2;11
0;0;Аякс Рома Нерес Д;Педро Р;0;0
0;0;Аякс Рома Тадич Д;Джеко Э;0;0
0;1;Аякс Рома Антони;Пеллегрини Л;0;0
1;1;Арсенал;Славия Прага;1;86
1;2;Аякс;Рома;1;39
0;2;Гранада;Манчестер Юн;2;31
0;1;Динамо Загреб;Вильярреал;2;44
0;0;uef. 4 матча. Хозяева;Гости;0;0
2;2;Ред Стар;Лион;2;28
0;0;Монтевидео Сити Торке;Феникс;0;0
1;0;Митьюлланд;Сендерюске;1;49
0;2;Орхус;Раннерс;2;66
1;2;Минерос Гуаяна;Арагуа Маракай;1;8
1;2;Насьональ Потоси;Гуабира;2;14
1;2;Атлетико Пальмафлор;Хорхе Вильстерманн;1;4
4;0;Спорт Уанкайо;УТК Кахамарка;1;4
0;1;Депортиво Саприсса;Филадельфия Унион;2;34
1;1;Леон;ФК Торонто;1;25
1;2;Олимпия Тегусигальпа;Америка Мехико;2;41
1;0;Либертад Асунсьон;Атлетико Насьональ;1;78
1;2;Дефенса и Хустисия;Палмейрас СП;2;16
2;2;Колорадо Рэпидс;Лос Анджелес Гэлакси;1;17
3;3;ФК Даллас;Остин Болд;1;11
2;2;Колорадо Рэпидс;Лос Анджелес Гэлакси;1;17
0;1;Финикс Райзинг;Реал Солт Лейк;2;26
0;0;Джэм Сити;2 Инфэнтри;0;0
1;1;Уотфорд U23;Чарльтон Атлетик U23;2;36
10;1;Энергетик БГУ (р);Спутник Речица (р);1;6
1;0;Минер Перник;Септември София;1;20
3;1;Септември Симитли U19;Чавдар Этрополе U19;2;4
2;0;Окжетпес (ж);Томирис Туран (ж);1;6
1;4;Джейханспор;Искендерун;2;1
0;0;Фетхиеспор;Кютахьяспор;0;0
1;2;Йомраспор;Халиде Эдип Адивар;2;12
0;0;Караман Беледиеспор;Агри 1970;0;0
2;4;Шиле Йилдизспор;Сомаспор;2;11
2;0;Ичел Идманюрду;Каршияка;1;18
0;2;Ени Алтындаг;Карсамбаспор;2;13
1;2;1877 Алемдагспор;Кизилкабелюкспор;1;33
0;1;Деринджеспор;Эдирнеспор;2;79
1;0;Буджаспор;Малатья Ешильюрт;1;80
2;4;Гельджюкспор;Элязыг Каракочан;2;4
2;3;Маниса;Чанкая;2;16
0;1;Карловац;Лучко Загреб;2;85
4;0;Куриловец Велика Горица;Дуго Село;1;31
4;1;Ст. Галлен;Янг Бойз Берн;1;33
2;1;Дамбартон;Ист Файф;1;3
3;0;Клайд;Форфар;1;18
1;0;Стенхаусмюир;Кауденбит;1;50
2;1;РК Арба;УСМ Блида;1;9
5;0;РКБ Уэд Риу;УС Ремши;1;34
2;1;ЖСМ Беджайя;ВР Мсила;2;41
2;1;НРБ Телегма;ДРБ Тадженант;1;4
0;1;МСП Батна;АС Хруб;2;44
0;0;ХБ Шелгум Лаид;УС Шауйя;0;0
1;0;МО Константин;СА Батна;1;12
0;1;ОМ Арзев;ЖСМ Тиарет;2;82
0;2;СКАФ Хемис Милиана;АСМ Оран;2;35
0;0;РК Куба;ЕС Бан Акнун;0;0
2;0;ИРБ Эль Керма;СК Айн Дефла;1;42
3;0;РК Куба U21;ЕС Бан Акнун U21;1;4
0;0;ХБ Шелгум Лаид U21;УС Шауйя U21;0;0
2;1;МСП Батна U21;АС Хруб U21;1;28
0;2;МО Константин U21;СА Батна U21;2;51
0;5;ОМ Арзев U21;ЖСМ Тиарет U21;2;6
2;1;ЖСМ Беджайя U21;ВР Мсила U21;1;6
3;4;РКБ Уэд Риу U21;УС Ремши U21;2;6
0;0;РК Арба U21;УСМ Блида U21;0;0
1;2;НРБ Телегма U21;ДРБ Тадженант U21;2;30
0;1;СКАФ Хемис Милиана U21;АСМ Оран U21;2;38
0;4;ИБ Лахдария U21;УСМ Эль Харраш U21;2;21
1;2;Абу Каир Семад;Харас Эль Хедуд;2;26
3;2;Эль Хаммам;Малит Кафр Эль Зайат;1;31
1;1;Фарко;Аль Олимпи;2;25
